addr,rooms,ruler,floor,price,descr,lat,lon
Arami,3 room,110 m2," floor 9/13 , new construction "," Rent - 1,700 $/month "," For rent is a 2-bedroom, 2-bathroom bright apartment with an area of 110 sqm on Arami street on the 9th floor of a 13-story new monolithic building. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality laminate and tiles. Both bathrooms and the kitchen are tiled and equipped with plumbing fixtures. There is an open balcony with a beautiful view. The apartment is tastefully furnished and equipped. The building has a security system. Nearby is Malibu Park, shops and entertainment venues. ",40.1848403,44.5065218
"Pushkin 3, apt. 17",4 room,108 m2, floor 9/12 , Rent - 700 $/month ," The entirely renovated apartment for long and short stay is located in a twelve-story building on Pushkin Str., near Sakharov Square and “Vitamine” club. The flat is furnished and equipped and can accept up to eight people. An air conditioner and a heating system are installed. There is a parking space in the yard. Renting this house, one will have access to the Republic Square, a number of shops, fun centers, banks and other centers. ",40.17979813,44.51649857
"M.Saryan 26, apt. 10",4 room,96 m2, floor 5/9 , Rent - 800 $/month ," Large comfortable apartment with lovely open balcony and fully fitted open kitchen spase is for rent on the 4th floor of 9 storied building close to crossing with Amiryan str. All the utilities and gas central heating are availabel, the flat has very convininet layout. Current price includes all home applaiences and furniture. Nearby there are school, kindergarten, supermarket, lovely park and several stores. ",40.18370056,44.50400162
"Hin Erevantsi 2, apt. 94",3 room,75 m2," floor 9/11 , new construction ", Rent - 650 $/month ," Two-bedroom apartment is for rent on the 8th floor of 11 new storied building behind ""Cactus"" restaurant, close to Northern Avenue. All the utilities and gas central heating are available. Open kitchen space is fully fitted. Nearby there are scholl, supermarket and etc. ",40.18255542,44.51570436
"Tumanyan St. 1, apt. 2",2 room,50 m2, floor 2/5 , Rent - 500 $/month , A two room apartment is for rent on the crossroads of Tumanyan and Khanjyan streets. It is situated on the 2nd floor of a 5 storey residential building. The apartment is repaired with the latest European standards. It is provided with constant water and gas and is being heated with gas boiler. The apartment is furnished with modern and comfortable furniture. The kitchen and the toilet are tiled. In front of the building there is a place for parking cars. All the necessary shops and activity places are nearby. ,40.17859928,44.5225352
Sayat-Nova ave. 40,3 room,86 m2," floor 16/17 , new construction "," Rent - 1,300 $/month "," This 2 bedroom apartment occupying the 16th floor of a 17 story building, located on Sayat-Nova ave. of Downtown Yerevan is currently for rent. All utilities are available. This 86 sq.m. home has been fully renovated and furnished, with air conditioning installed. Outdoor parking is available. ",40.17743469,44.5262602
Y.Koghbatsi,3 room,60 m2, floor 9/9 , Rent - 700 $/month ," Two - bedroom apartment on Koghbatsi - Pushkin crossroads near the music school after Tchaykovskiy is currently for long term or daily rent. It covers an area 60 sq.m. and occupies the 9th floor of a 9 storey building. The apartment is renovated. Local heating system is installed. All the rooms are furnished and equipped with the necessary appliances. Cable TV and Internet are installed. The Northern avenue, numerous cafes, restaurants and shops are located just nearby. ",40.18318239,44.51230786
Northern av.,3 room,150 m2," floor 6/8 , new construction ", Rent - on request , Two - bedroom apartment on Northern avenue is currently for rent. It covers an area of 150 sq.m. and occupies the 6th floor of a new residential 8 storey building. The apartment is fully renovated. Local heating system is installed. All the rooms are furnished. Cable Tv and Internet are available. There are inbuilt wardrobes both in the corridor and in the kitchen. The apartment has an open balcony with a view over the Swan Lake and Northern avenue. Underground parking is allocated for cars. ,40.18376759,44.51458293
Buzand,3 room,120 m2," floor 4/15 , new construction "," Rent - 1,700 $/month "," This 3 bedroom apartment with an area of 120 sq.m. is currently on sale. Occupying the 4th floor of a 15 story building, located on the Buzand street, the apartment is fully renovated and furnished, with modern windows and air conditioning installed. All utilities are available, as well as internet connection and cable TV. Underground parking is provided. ",40.17987763,44.51189773
Pushkin,1 room,40 m2, floor 4/5 , Rent - 400 $/month ," Studio apartment on Mashtots - Pushkin crossroads is currently for only long term rent. It covers an area of 40 sq.m. and occupies the 4th floor of a 5-story building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. An open balcony with a view of the street is available. The apartment is furnished and equipped with the home appliances. Restaurant ""KFC"", bank branches, pharmacy and the bus stop are located nearby. ",40.18439159,44.51065867
Northern av.,4 room,680 m2," floor 9/9 , new construction "," Sale - 2,500,000 $ "," 3 - bedroom, 5-bathroom unique and spacious apartment on Northern Avenue, next to the Opera House and Swan Lake is currently for sale. It covers an area of 610 sq.m. and occupies the 9th floor of a 9-story new building. The living space of the apartment covers an area of 300 sq.m and the terrace covers an area of 380sq.m. The apartment is fully renovated according to the latest European standards. All rooms have panoramic windows and separate bathrooms. Centralized heating and air conditioning system is installed. All the rooms and kitchen are furnished with modern and original furniture and are full of inbuilt wardrobes. The apartment also has a laundry room and a separate wardrobe. ",40.18096647,44.51403364
Teryan 66,4 room,192 m2," floor 10/13 , new construction "," Sale - 720,000 $ "," Three - bedroom spacious apartment on Teryan street in the building of ""Debenhams"" shop is currently for sale. It covers an area of 192 sq.m. and occupies the 10th floor of the new residential 13 storey building.The apartment is renovated. Centralized heating and conditioning system is installed. All the rooms are furnished and equipped with the necessary appliances. Inbuilt wardrobes are available. The building has a round - to - clock security system. Underground parking is allocated for cars. A close swimming pool and a gym are offered to the residents of the building free of charge. The park, supermarket ""SAS"", school after A.Pushkin, Yerevan State Medical University, shops, cafes, restaurants, theatres and other entertainment centers are located nearby. ",40.18795403,44.52147604
Buzand 17,2 room,38 m2," floor 9/14 , new construction ", Rent - 650 $/month , One - bedroom cozy apartment in the downtown: on Buzand - Teryan crossroads is currently for long term or daily rent. It covers an area of 38 sq.m. and occupies the 9th floor of a new residential 14 storey building. The apartment is renovated and yet uninhabited. Centralized heating and conditioning system is installed. All the rooms are furnished and equipped with the necessary appliances. Tableware and bed linen are provided. Cable TV and Internet are installed. Numerous shops and entertainment centers are located nearby. In case of short term rental the price will change. ,40.17986606,44.51152602
Khorenatsi,2 room,47 m2," floor 4/13 , new construction "," Sale - 130,000 $ "," One - bedroom, one-bathroom apartment on Khorenatsi street, next to the Republic Square and English park is currently for sale, for long term or daily rent. It covers an area of 47 sq.m. and occupies the 4th floor of a 13-story new building. The apartment is newly renovated and yet uninhabited. Local heating system is installed alongside with an air conditioner. The apartment is furnished with new and comfortable furniture and equipped with modern appliances. It has all the necessary for comfortable living, and the location of the building allows you to get to all the entertainment places, shops, other, interesting places in the city center without spending extra time. ",40.17319472,44.51039951
Vardanants 18/2,3 room,90 m2," floor 5/23 , new construction ", Rent - 850 $/month ," For rent is а 2-bedroom, 2-bathroom beautifully decorated apartment of 90 sqm on the 5th floor of a 23-story new building at the intersection of Vardanants and Khanjyan streets, near the Vernissage. Heating is provided by a centralized system, cooling - by air conditioners. The open balcony offers a beautiful view of the city. The apartment is furnished with modern furniture and appliances. The building has a security system, with an employee. Underground parking is provided with the apartment. ",40.175417,44.519886
Abovyan,1 room,54 m2, floor 9/12 ," Sale - 127,000 $ "," For sale or for rent is a 1-bathroom stylish studio apartment with an area of 54 sqm on the 9th floor of a 12-story building on Abovyan Street, near Northern Avenue. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality laminate. The building has an elevator and an intercom. Not far from the house there are banks, shops, cafes, places of recreation and entertainment. Sold with furniture and appliances. ",40.179916,44.51525
Fuchik 19,2 room,46 m2," floor 6/10 , new construction "," Rent - 180,000 Դ/month "," For long-term rent is a 1-bedroom, 1-bathroom bright apartment with an area of 46 sqm on the 6th floor of a 10-story building on Fuchik Street. The apartment is completely renovated, a local heating system is installed, the floor is covered with laminate and tiles. The bathroom is lined with European tiles and equipped with high-quality plumbing. The apartment is equipped with all amenities, furnished and equipped with modern appliances and accessories. The building has an elevator and an intercom. Nearby there are shops, banks, schools, cafes and transport stops. ",40.20613158,44.47629519
M. Baghramyan ave.,4 room,170 m2," floor 14/16 , new construction "," Rent - 1,100 $/month "," Three-bedroom apartment is for rent close to crossing with Orbeli stree close tometro station. The apartment is fully repaired and furnished, all the utilities are available. Nearby there are stores, a school, a kindergarten, two supermarkets. ",40.19329231,44.49790522
Arami,4 room,120 m2," floor 4/13 , new construction "," Rent - 1,500 $/month "," This 3 bedroom apartment occupying the 4th floor of a 13 story building, located on Arami street of Downtown Yerevan is currently fro sale/rent. All utilities are available. Additionally, internet connection and cable TV have been provided. This 120 sq.m. home has been renovated and furnished, with air conditions installed. Underground parking is available. ",40.18048421,44.51240735
Ekmalyan,3 room,150 m2," floor 8/15 , new construction "," Rent - 1,500 $/month "," Two - bedroom, two-bathroom spacious apartment on Yekmalyan street is currently for long term rent. It covers an area of 150 sq.m. and occupies the 8th floor of a 15-story new building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. Kitchenware and bed linen will be provided. Security system is installed. The building also has an underground parking. Park, bank branches, post office and the bus stop are located nearby. ",40.184684,44.507678
"Nalbandyan 7/1, apt. 85",3 room,80 m2," floor 10/10 , new construction ", Rent - 750 $/month ," A three room apartment is for sale on the crossroads of Arami and Nalbandyan streets, a little far from Republic Square, near the Square Sakahrov. It is situated on the 2nd floor of a 13 stored residential building. It is fully repaired with the latest standards. The entrance door is metallic, the windows are modern plastic ones. The rooms are being heated with gas boiler. The kitchen and toilet are tiled. The internet and cable television are also available. There are many inbuilt closest in the corridors and furniture in the kitchen. There are many shops, a school and kindergarten nearby. ",40.17950058,44.51549911
Northern av.,3 room,120 m2," floor 3/9 , new construction "," Rent - 1,700 $/month "," Two - bedroom, one-bathroom apartment on Northern Avenue is currently for rent. It covers an area of 120 sq.m. and occupies the 3rd floor of a 9-story new building. The apartment is newly renovated. Centralized heating and air conditioning system is installed. 24 hour security system is installed. The building also has a security booth. An underground parking spot will be provided with an additional payment. Numerous shops, bank branches, cafes and restaurants are located nearby. Cable TV and Internet are available. ",40.182066,44.515394
Buzand 13,2 room,55 m2," floor 11/14 , new construction ", Rent - 650 $/month ," Single bedroom apartment with 55 sq.m. area is for rent on the 10th floor of a 14 storied new residential building in Buzand st. The apartment is fully repaired. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is wooden. Water and gas are twenty-four hours, apartment is heating by a gas boiler. The kitchen and the bathroom are tiled and equipped with sanitary ware. There is a built-in wardrobes, cupboards in the kitchen and the hallway. All the necessary shops are nearby. ",40.18069238,44.51042372
Arami 74,1 room,38 m2," floor 5/15 , new construction ", Rent - 500 $/month ," One - bedroom studio apartment on Aram street in the building of cafe Dargett is currently for long term or daily rent. It covers an area of 38 sq.m. and occupies the 5th floor of a new residential 15 storey building. The apartment is renovated. An open balcony is available. The apartment is furnished, equipped with the necessary appliances as well as with tableware and bed linen. ",40.18370471,44.50803655
Ekmalyan 1,4 room,120 m2," floor 7/15 , new construction "," Rent - 1,600 $/month ", Three - bedroom apartment on Ekmalyan street is currently for daily rent. It covers an area of 120 sq.m. and occupies the 7th floor of a new residential 15 storey building. The apartment is renovated. Local heating system is installed. All the rooms are furnished and equipped with the necessary appliances. Tableware and bed linen are provided. Cable TV and Internet are installed. Numerous shops and entertainment centers are located nearby. ,40.1841473,44.5091566
Nalbandyan 7/1,2 room,48 m2, floor 10/10 , Rent - 550 $/month ," One - bedroom apartment on Nalbandyan street is currently for long term or daily rent. This fully renovated cozy apartment occupies the 10th floor of a 10 storey building. All the rooms are furnished and equipped with the necessary appliances. Local heating system is installed. Numerous shops and entertainment centers, as well as the Republic Square and the Vernisage are located nearby. ",40.1823654,44.52139275
"Arami 4/3, apt. 46",3 room,65 m2," floor 8/12 , new construction ", Rent - 750 $/month ," Two - bedroom comfortable apartment on Aram street is currently for daily rent. It covers an area of 65 sq.m. and occupies the 8th floor of a new residential 12 storey building. The apartment is renovated. Local heating system, heating floors and air conditioners are installed. An open balcony is available. All the rooms are furnished and equipped with the necessary appliances. The building has a security system system installed. Numerous shops and entertainment centers are located just nearby. ",40.18064477,44.51261496
Tamanyan,3 room,88 m2, floor 3/5 ," Sale - 310,000 $ "," For sale or rent is a 2-bedroom, 2-bathroom elegant, comfortable apartment with an area of 88 sq. m. on the 3rd floor of a 5-story stone house on Tamanyan Street, near the Cascade. The apartment is completely renovated, local heating and air conditioning systems are installed, two bathrooms are tiled and equipped with plumbing. All rooms are equipped with modern equipment. The apartment has a closed balcony with a fireplace. All types of communication are available. The apartment is provided with furniture and appliances. ",40.18980758,44.51595619
Mashtots avenue,4 room,105 m2," floor 3/13 , new construction "," Rent - 1,000 $/month "," For long-term rent is a 3-bedroom, 1-bathroom apartment with an area of 105 sqm on the 3rd floor of a 13-story new building on Mashtots Avenue. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with decorative hardwood, the kitchen and bathroom are tiled and equipped with plumbing fixtures. The apartment is furnished with beautiful furniture, equipped with high-quality household appliances. There are two open balconies with a beautiful view. There is an outdoor parking in the courtyard. Nearby there are shops, supermarkets, banks and entertainment venues. ",40.18452431,44.51298185
"Hakobyan str. 7, apt. 21",3 room,80 m2, floor 7/14 ," Sale - 130,000 $ "," Modern furnished well designed comfortable apartment is for sale or rent on 6th floor of 14th storeyed residential building near the institute after Mergelyan. All utilities are available, open kitchen space is fully fitted. Nearby there are several supermarkets, metro station, ""Hayastan"" trading center and etc. ",40.21771316,44.57438627
Ekmalyan,4 room,145 m2," floor 15/18 , new construction "," Rent - 2,500 $/month "," For long-term rent is a 3-bedroom, 2-bathroom apartment in elegant colors, with an area of 145 sqm on the 15th floor of an 18-story new monolithic building on Yekmalyan Street. The apartment is equipped with furniture and appliances, equipped with all necessary accessories. A gas boiler is installed, 3 air conditioners, the floor is covered with laminate and ceramic granite with heating. There are 2 bathrooms, one of which is connected to the bedroom. The bathrooms are tiled and equipped with plumbing fixtures. There are 2 open balconies with a beautiful view of Yerevan. There is Internet and cable TV. The building has 2 elevators, security with video surveillance systems is provided. Near the house is Malibu Park, various shops and entertainment venues. ",40.18387759,44.5081447
Verin Antarain,4 room,122 m2," floor 1/6 , new construction "," Rent - 1,500 $/month "," For long-term rent is a 2-bedroom, 2-bathroom a bright apartment with an area of 122 sqm on the 1st floor of a 6-story building on Verin Antarin Street. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with German laminate and Spanish tiles with heating, panoramic windows from floor to ceiling are installed. The studio kitchen and bathrooms are lined with European tiles and equipped with high-quality plumbing. One of the bedrooms has its own bathroom. There is a large outdoor balcony with a beautiful view of the city. The apartment is furnished and equipped with modern appliances and accessories, there is a dressing room. There are 2 elevators in the house, a security system works. There is a our private parking on the ground floor, the building has an underground 2-story parking. In the well-kept courtyard there is a playground and a swimming pool. Nearby there are banks, a school, a kindergarten, shops, cafes and entertainment venues. ",40.19540926,44.51284018
Northern av.,2 room,70 m2," floor 11/11 , new construction "," Sale - 240,000 $ "," One - bedroom, two-bathroom apartment on Northern Avenue is currently for sale. It covers an area of 70 sq.m. and occupies the 11th floor of a 11-story new building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. An open balcony with a nice view is available. The apartment is for sale together with furniture and home appliances. Numerous shops, bank branches, restaurants and cafes are located nearby. ",40.18133244,44.51420274
Buzand,2 room,46 m2," floor 8/16 , new construction "," Sale - 180,000 $ "," in situ concrete, renovated, security system, security worker, sunny, furnished, new wiring, new water tubes, metal door, euro windows, laminate flooring, appliances, built-in kitchen furniture, kitchen tiled, bathroom tiled, persistent water, electricity, natural gas, internet, cable tv, centralized heating, elevator in the building, intercom, bedroom ",40.17991524,44.51142946
Buzand,1 room,43 m2," floor 5/15 , new construction "," Sale - 180,000 $ "," One - bedroom cozy modern apartment on Buzand street is currently for sale or rent. It covers an area of 43 sq.m. and occupies the 5th floor of a new residential 15 storey building. The apartment is renovated. Centralized heating is installed. All the rooms are furnished and equipped with the necessary appliances. Numerous shops, a supermarket, cafes and other entertainment centers are located neary. ",40.17982507,44.51136508
Y.Kochar,3 room,78 m2, floor 2/10 ," Sale - 120,000 $ "," Two - bedroom, one-bathroom apartment on E. Kochar street, next to the park ""Oxakadzev Aygi"" is currently for sale, for daily or long term rent. It covers an area of 78 sq.m. and occupies the 2nd floor of a 10-storey building. The apartment is newly renovated and yet uninhabited. Local heating system is installed alongside with an air conditioner. The apartment is furnished and equipped with the home appliances. Post office, supermarket ""Sas"", school N 12 and the bus stop are located nearby. ",40.17278991,44.52046261
Buzand 17,2 room,52 m2," floor 9/17 , new construction "," Sale - 200,000 $ "," One - bedroom, one-bathroom studio apartment on Buzand street, next to the Republic square is currently for sale or for rent. It covers an area of 52 sq.m. and occupies the 9th floor of a 17-story new building. The apartment is newly renovated. Centralized heating system is installed alongside with an air conditioner. Cable TV and Internet available. The apartment is furnished and equipped with home appliances. All necessary shops and entertainment places are located nearby. ",40.179957,44.511424
Tumanyan St.,5 room,200 m2, floor 4/5 ," Sale - 330,000 $ "," For sale or rent is a 3-bedroom, 3-bathroom duplex apartment in an original style with an area of 200 sqm on the 3rd and 4th floors of a 5-story stone building at the intersection of Khanjyan and Tumanyan streets. The apartment is completely renovated, a local heating system and panoramic windows from floor to ceiling are installed, the floor is covered with high-quality parquet and heated tiles. The bathrooms are lined with European tiles and equipped with plumbing fixtures. On the 1st floor there is a spacious living room with a fireplace, a kitchen and a bathroom. On the second floor there are 3 bedrooms and 2 bathrooms. There is an open balcony with a view of the park. The rooms and kitchen are beautifully furnished and equipped with household appliances and accessories. There is a possibility of sole use of the elevator. Nearby there are shops, entertainment venues and transport stops. ",40.17889484,44.52268724
Buzand 17,2 room,62 m2," floor 6/17 , new construction ", Rent - 750 $/month , One - bedroom apartment on Buzand - Teryan crossroads is currently for long term rent. It covers an area of 62 sq.m. and occupies the 6th floor of a new residentia 17 storey building. The apartment is renovated. All the rooms are furnished and equipped with the necessary appliances. Centralized heating and conditioning system is installed. Cable TV and Internet are available. The apartment has an open balcony. ,40.17983664,44.51141493
Northern av.,3 room,110 m2," floor 5/8 , new construction "," Rent - 2,000 $/month "," 2 bedroom Luxury apartment for rent in the Northern Avenue, near Teryan - Pushkin crossroad. The apartment is in new-story building, The flat has an original design and beautiful lights. Also the flat fully renovated and dainty furnished, with modern windows and air condition installed, heating by gas boiler. All the rooms are modern furnished. All utilities are available, as well as cable TV and internet connection. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Daily rent 130 -160$ WhatsApp +(374)77600-010 Arthur ",40.18201653,44.51387118
Amiryan,2 room,54 m2, floor 4/5 , Rent - 650 $/month ," This 1 bedroom apartment occupying the 4th floor of a 5 story building, located on Amiryan street of Downtown Yerevan is currently for short/long term rent. All utilities are available. Additionally, internet connection and cable Tv have been provided. This 54 sq.m. home has been renovated and furnished, with air conditioning installed. Outdoor parking is available. Daily rent 40-70$ Viber, WhatsApp,Telegram +37477600-010 Arthur ",40.18036535,44.5085557
Amiryan 7,2 room,40 m2, floor 3/5 , Rent - 950 $/month ," One - bedroom apartment on Amiryan - Zakyan crossroads is currently for rent. It covers an area of 40 sq.m. and occupies the 3rd floor of a 5 storey building. The apartment is renovated. Local heating system is installed. All the rooms are furnished and equipped with the necessary appliances. Cable TV and Internet are installed. The apartment has an open balcony with a nice view. If wanted, we can offer services of a professional driver who will meet you at the airport and will take you to the beforehand booked apartment. The daily rent is 40-60$. Viber, WhatsApp +37477600-010 Arthur. ",40.17922258,44.50961086
Argishti,2 room,56 m2," floor 13/14 , new construction ", Rent - 550 $/month ," One-room apartment on Argishti street of Glendale Hills district is currently for rent. It covers an area of 56 sq.m. and occupies the 13th floor of a 14-storey new building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. Cable TV and Internet are available. The building also has an outdoor parking. Daily rent: 40-60$, long term rent: 600-900$. Viber,WhatsApp,Telegram +(374) 77 600-010 Arthur ",40.17347136,44.50323583
Buzand,2 room,60 m2," floor 8/15 , new construction "," Sale - 195,000 $ "," One - bedroom, one-bathroom apartment on Buzand Street, next to the park ""New Yerevan"" is currently for rent. It covers an area of 60 sq.m. and occupies the 8th floor of a 15-story new building. The apartment is newly renovated. Centralized heating and air conditioning system is installed. The apartment is furnished and equipped with the necessary appliances. All the necessary entertainment places and shops are located nearby. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Daily rent: 70-90$ Viber WhatsApp +37477600-010 Arthur ",40.18252909,44.50732217
Buzand,2 room,62 m2," floor 8/16 , new construction ", Rent - 950 $/month ," One - bedroom, one-bathroom apartment on Buzand street, next to the park is currently for rent. It covers an area of 62 sq.m. and occupies the 8th floor of a 16-story new building. The apartment is newly renovated and yet uninhabited. Centralized heating and air conditioning system is installed. An open balcony with a nice view of park is available. Bathroom is equipped with necessary appliances. Kitchenware and bed linen will be provided. Cable TV and Internet are available. All necessary shops and entertainment places are located nearby. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Rent price: 1500-2200$ Daily rent: 70-100$ Viber WhatsApp,Telegram +37477600-010 Arthur ",40.182562,44.507408
Pushkin,4 room,110 m2, floor 4/9 ," Rent - 1,200 $/month "," Three - bedroom, two-bathroom apartment on Pushkin - Saryan crossroads is currently for rent. It covers an area of 110 sq.m. and occupies the 4th floor of a 9-story building. The apartment is newly renovated and yet uninhabited. Local heating system is installed. The apartment is provided with furniture, appliances, dishes and bedding. Cable TV and Internet are available. It is possible to park cars in the yard of the building. If needed, we can offer you services of a driver who will meet you at the airport and safely take you to the beforehand booked apartment. Long term rent: 1000-1800$, daily rent: 80-120 $ Viber, WhatsApp +(374)77600-010 Arthur ",40.185862,44.50859156
Northern av.,3 room,135 m2," floor 9/15 , new construction "," Rent - 2,500 $/month "," For rent is a 2-bedroom, 2-bathroom bright, spacious apartment with an area of 135 sq. m. on the 9th floor of a 15-story new building in the central part of the Northern Avenue. The apartment is completely renovated in accordance with the latest European standards. The floor is covered with hardwood. The heating and cooling systems in the apartment is centralized. The apartment is furnished with all necessary appliances. There is an open balcony with a beautiful view of the Northern Avenue, there is a laundry room. Underground parking is available for cars. If desired, we will provide a driver who will meet you at the airport and deliver you safely to a pre-booked address. The monthly fee is $2300-4000, the daily fee is $150-200. Viber WhatsApp, Telegram +(374) 77600-010 Arthur. ",40.18203583,44.51498314
Y.Kochar,2 room,90 m2," floor 8/9 , new construction "," Sale - 200,000 $ "," One - bedroom beautiful apartment on Y.Kochar street near the supermarket ""SAS"" is currently for rent. It covers an area of 90 sq.m. and occupies the 8th floor of a new residential 9 storey building. The apartment is renovated and yet uninhabited. All the rooms are furnished and equipped with the necessary appliances. Local heating system and air conditioners are installed. The apartment has 2 open balconies. Numerous shops and entertainment centers can be found nearby. If wanted, we can offer services of a professional driver who will meet you at the airport and will safely take you to the beforehand reserved apartment. The daily rent is 70-100 $ Viber,WhatsApp,Telegram +37477600-010 Arthur ",40.17166003,44.518492
D. Demirchyan,2 room,65 m2," floor 4/9 , new construction ", Rent - 950 $/month ," For rent is а 2-room modern studio apartment with an area of 65 sqm on the 4th floor of a 9-story new building, on Demirchyan Street, near the intersection with Baghramyan Avenue. The apartment is completely renovated, central heating and cooling system, furnished with new modern furniture and appliances. Open balcony with beautiful views. The building has a security system, elevator and underground parking. ",40.18872785,44.50787828
Northern av. 5,3 room,135 m2," floor 4/13 , new construction "," Sale - 550,000 $ "," For sale or for long-term or daily rent is a 2-bedroom, 2-bathroom spacious, bright apartment of 135 sqm on the 4th floor of a 14-story new monolithic building on Northern Avenue. The apartment is completely renovated, connected to central heating and cooling systems, the floor is covered with laminate and tiles. There is a dressing room, both bathrooms are lined with European tiles and equipped with plumbing fixtures. The apartment has open balconies with beautiful views from two sides. The apartment is comfortably furnished and equipped with household appliances and accessories. Mattresses are of high quality. There is internet and cable TV. The building has 2 elevators and a 24/7 security system. Nearby are Republic Square, the Opera House, branded shops and entertainment venues. There is an underground parking for an additional fee. Long-term rent is $ 2000 - 5000 per month, daily one is $ 100 - 165. ",40.18202003,44.51545396
Northern av.,3 room,170 m2, floor 4/5 ," Sale - 350,000 $ "," Three-bedroom duplex with 170 sq.m. area is for rent on the 4th and 5th floors of 4 storey stone building. Located in Teryan Street, near Paulaner Beerhouse. The apartment is fully repaired, not populated and has an unique design. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is covered with laminate. Provided with constant water and gas. Heated by gas boiler. The kitchen and the bathroom are tiled with european production tiles and equipped with sanitary ware. There are 3 bathrooms in the apartment. All rooms are furnished. Cable TV and internet connection are available. There are built-in-wardrobes in the hallway and in the kitchen. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Short term: 140-200$ Viber,WhatsApp +(374)77600-010 Arthur ",40.18301089,44.51475696
Northern av.,4 room,170 m2," floor 7/9 , new construction "," Rent - 2,700 $/month "," 3 bedroom apartment for rent in small centre ,Teryan - Pushkin crossroad,165 sq.m, in 7th floor of 9 storey new building.The apartment is fully renovated and uninhabited.The entrance door is metalic,the windows are modern plastic ones,installed air conditioner.Heated by gas boiler. The kitchen and the bathroom are tilled and full of sanitary ware.The apartment is furnished with luxury furniture and equppied with technical equipment.There is cable TV and Internet. If desire,we can provide driver who will meet you at the airport and safely deliver a pre-set address. Short term-170-250$. Viber, WhatsApp +37477600-010 Artur ",40.18301089,44.51475696
Pushkin,3 room,63 m2, floor 4/4 ," Sale - 149,000 $ "," Two - bedroom, one-bathroom apartment on Pushkin street, next to the Malkhas Jazz Club is currently for sale or for rent. It covers an area of 63 sq.m. and occupies the 4th floor of a 4-story building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. Cable TV and Internet are available. Kitchenware and bed linen will be provided. An outdoor parking will be provided. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Long term rent: 600-900$, daily rent: 50-90 $ Viber WhatsApp +(374)77600-010 Arthur ",40.184436,44.510534
Tamanyan,4 room,121 m2, floor 5/5 ," Sale - 449,000 $ "," For sale or rent is a 3-bedroom, 2-bathroom bright, spacious duplex apartment with a unique design solution, with an area of 121 sqm on the 5-6 floors of a 5-story stone house on Tamanyan Street. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with hardwood. On the first floor there is a spacious living room, kitchen, bathroom, on the second floor there are 3 bedrooms, shower room. The open-air balcony offers views of the Cascade complex. All furniture, appliances, bathroom tiles and plumbing are expensive. Near the house there are shops and entertainment venues. There are services: delivery from the airport, apartment cleaning, tourist services. ",40.18919,44.515646
Arami,3 room,145 m2," floor 3/11 , new construction "," Rent - 2,200 $/month "," Two - bedroom spacious and sunny apartment on Aram street near the new park is currently for rent. It covers an area of 145 sq.m. and occupies the 3rd floor of a new residential 11 story building. The apartment is renovated. Local heating system and air conditioners are installed. All the rooms are furnished and equipped with the necessary appliances. The building has a security system and underground parking. Numerous cafes, restaurants and bank branches are located just nearby. If wanted, we can offer services of a professional driver who'll meet you at the airport and will safely take you to the beforehand reserved address. ",40.18316777,44.50880948
Buzand,2 room,70 m2," floor 12/15 , new construction ", Rent - 900 $/month ," One - bedroom, one-bathroom apartment on Buzand street, next to the Republic Square is currently for rent. It covers an area of 70 sq.m. and occupies the 12th floor of a 15-story new building. The apartment is newly renovated. Centralized heating system is installed along with an air conditioner. Bathroom is equipped with necessary appliances. Kitchenware and bed linen will be provided. Cable TV and Internet are available. All necessary shops and entertainment places are located nearby. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Rent price: 900-1800$ Daily rent: 40-80$ Viber WhatsApp +37477600-010 Arthur ",40.18070646,44.5104468
Amiryan 18,1 room,44 m2, floor 4/10 , Rent - 500 $/month ," Cozy single apartment with fully fitted kitchen space is for long term or daily rent on the 3rd floor of 10 storeyed new building near Republic Square, close to ""Byblos"" bank. For the whole period of rent you will own all the furniture, home appliances and utensil. In case of long term rent the furniture can be changed. Nearby are brand shops, supermarket, amenities, cafes and metro station. ",40.18016785,44.50852351
